job_series,career_level,functional_competency_designation,competency,competency_group,compentency_description,proficiency_level,proficiency_level_definition,behavioral_illustrations,relevant_courses
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Flexibility,Self Competencies,"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with ambiguity",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Meets with team to adjust and coordinate schedules to accommodate all team members ? Adjusts staff assignments based on feedback and work load priorities,121 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 122 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 123 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Foundational for Leading Self,Flexibility,Self Competencies,"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with ambiguity",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses staff feedback to streamline processes in order to meet deadlines ? Adjusts project plan based on input from staff and stakeholders,325 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 326 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 327 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Foundational for Leading Self,Flexibility,Self Competencies,"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with ambiguity",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Realigns resources to meet changing customer needs ? Takes feedback into consideration while implementing organizational change,328 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 329 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 330 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Foundational for Leading Self,Flexibility,Self Competencies,"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with ambiguity",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Adjusts organizational priorities quickly as situations change ? Shifts agency goals and initiatives to align with administration and Congressional priorities,484 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 485 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 486 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Foundational for Leading Self,Flexibility,Self Competencies,"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with ambiguity",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Implements a successful action plan after a major organizational change ? Prioritizes, considers alternatives, and responds quickly and effectively to unexpected and rapidly changing conditions",487 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 488 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 489 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Integrity- Honesty,Self Competencies,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Establishes open and honest communication with employees ? Addresses concerns with employee behavior in a confidential and respectful manner,151 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 152 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 153 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Integrity- Honesty,Self Competencies,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Provides staff with accurate information about the vision of the agency and outlines changes in an upfront manner ? Remains fair and objective when determining skill set needed for projects to select effective team members,154 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 155 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 156 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Integrity- Honesty,Self Competencies,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Communicates honestly with employees regarding potential changes affecting the organization to ensure staff are treated fairly ? Investigates issues and takes corrective action, as appropriate",157 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 158 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 159 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Foundational for Leading Self,Integrity- Honesty,Self Competencies,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Instills a climate of trust by admitting own mistakes and taking responsibility for one's actions ? Discusses potential ethical problems and wrong- doing with employees and responds appropriately,352 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 353 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 354 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Foundational for Leading Self,Integrity- Honesty,Self Competencies,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Promotes a climate of openness and honesty and does not penalize responsible dissent ? Does not acquiesce to inappropriate personal requests for favors, political pressure, or promise of gain ? Displays fortitude to support ethical actions that may negatively impact self or stakeholders",511 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 512 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 513 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Interpersonal Skills,Self Competencies,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Interacts with co-workers in a tactful manner ? Responds to employee inquiries,160 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 161 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 162 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Interpersonal Skills,Self Competencies,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Shows employees empathy and respect ? Welcomes new employees into organization by explaining mission and agency goals ? Develops and maintains effective working relationships,163 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 164 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 165 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Interpersonal Skills,Self Competencies,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Makes self accessible to employees at all levels ? Corrects employee mistakes in a courteous manner ? Demonstrates courtesy, empathy and respect",166 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 167 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 168 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Foundational for Leading Self,Interpersonal Skills,Self Competencies,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Treats individuals from all levels of the agency with courtesy and sensitivity ? Meets with staff and listens to their perspective on organizational policies and procedures ? Displays professionalism, tact, and empathy when working with groups",355 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 356 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 357 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Foundational for Leading Self,Interpersonal Skills,Self Competencies,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Treats individuals from all levels of the agency with courtesy and sensitivity ? Meets with staff and listens to their perspective on organizational policies and procedures ? Displays professionalism, tact, and empathy when working with groups",514 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 515 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 516 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Oral Communications,Self Competencies,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Communicates agency goals and initiatives to staff in a clear and concise manner ? Communicates information regarding organizational changes to staff ? Updates supervisors on project status ? Actively listens to staff ideas and concerns regarding work-related issues,175 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 176 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 177 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Foundational for Leading Self,Oral Communications,Self Competencies,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Communicates effectively with staff by conducting regular meetings to discuss initiatives and current events ? Explains and clarifies policy to affected parties ? Provides status updates to management team during quarterly division meeting ? Presents complex information to stakeholders verbally,367 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 368 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 369 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Foundational for Leading Self,Oral Communications,Self Competencies,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes ? Communicates with committee regarding necessary actions and suggested approaches to accomplish committee objectives,"? Communicates with committee regarding necessary actions and suggested approaches to accomplish committee objectives ? Conveys information clearly and concisely to ensure staff or team members remain focused on agenda items ? Explains benefits to stakeholders to gain acceptance of programmatic change ? Presents information, analyses, and recommendations to officials and stakeholders ? Presents, promotes and clarifies ideas and issues to others",370 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 371 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 372 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Foundational for Leading Self,Oral Communications,Self Competencies,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Conducts presentations and briefings for high-level agency officials ? Presents, explains, and defends agency positions and proposals to staff and stakeholders ? Persuades others by making clear and convincing oral presentations",526 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 527 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 528 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Foundational for Leading Self,Oral Communications,Self Competencies,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",? Presents complex information articulately when meeting with key executives or public officials regarding a high-visibility issue ? Testifies before Congress on a catastrophe's or significant issue's impact on the agency's responsibilities and requirements ? Communicates sensitive information of broad organizational impact on topics without precedence,529 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 530 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 531 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Problem Solving,Self Competencies,"Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Communicates agency goals and initiatives to staff in a clear and concise manner ? Communicates information regarding organizational changes to staff ? Updates supervisors on project status ? Actively listens to staff ideas and concerns regarding work-related issues,187 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 188 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 189 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Problem Solving,Self Competencies,"Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Communicates effectively with staff by conducting regular meetings to discuss initiatives and current events ? Explains and clarifies policy to affected parties ? Provides status updates to management team during quarterly division meeting ? Presents complex information to stakeholders verbally,190 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 191 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 192 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Foundational for Leading Self,Problem Solving,Self Competencies,"Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Communicates with committee regarding necessary actions and suggested approaches to accomplish committee objectives ? Conveys information clearly and concisely to ensure staff or team members remain focused on agenda items ? Explains benefits to stakeholders to gain acceptance of programmatic change ? Presents information, analyses, and recommendations to officials and stakeholders ? Presents, promotes and clarifies ideas and issues to others",382 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 383 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 384 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Foundational for Leading Self,Problem Solving,Self Competencies,"Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Synthesizes information from internal and external sources to develop an action plan addressing program issues ? Addresses systemic barriers inhibiting the achievement of results by forming teams to conduct focus groups and develop solutions,541 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 542 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 543 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Foundational for Leading Self,Problem Solving,Self Competencies,"Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Improves organizational efficiency by developing, planning, and implementing a multi-tier solution to complex or unprecedented problems ? Develops and implements a remediation plan restoring stakeholder confidence in a critical agency program",544 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 545 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 546 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Public Service Motivation,Self Competencies,Shows a commitment to serve the public; ensures that actions meet public needs; aligns organizational objectives and practices with public interests,Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Responds promptly and accurately to public inquiries about agency policies ? Suggests gaining feedback from public regarding new policy,193 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 194 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 195 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Public Service Motivation,Self Competencies,Shows a commitment to serve the public; ensures that actions meet public needs; aligns organizational objectives and practices with public interests,Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Reviews unit's policies and procedures on a regular basis to ensure they are consistent with public needs ? Determines community needs by surveying citizens,196 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 197 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 198 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Public Service Motivation,Self Competencies,Shows a commitment to serve the public; ensures that actions meet public needs; aligns organizational objectives and practices with public interests,Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Approves funding documentation in accordance with procedures to ensure public resources are utilized appropriately ? Improves processes used to monitor contractors and vendors for supplies, services, and-or equipment to ensure government funds are expended appropriately ? Encourages a commitment to public service",199 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 200 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 201 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Foundational for Leading Self,Public Service Motivation,Self Competencies,Shows a commitment to serve the public; ensures that actions meet public needs; aligns organizational objectives and practices with public interests,Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Partners with community leaders to develop neighborhood action plans ? Cultivates relationships with community stakeholders to validate usefulness of proposed products and services ? Identifies improved ways to manage public resources,385 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 386 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 387 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Foundational for Leading Self,Public Service Motivation,Self Competencies,Shows a commitment to serve the public; ensures that actions meet public needs; aligns organizational objectives and practices with public interests,Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",? Designs and develops programs to address critical community requirements ? Elicits employees' commitment to serve the public good in responding to a disaster ? Ensures that projects and programs meet public needs and interests,547 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 548 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 549 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Resilience,Self Competencies,"Deals effectively with pressure; remains optimistic and persistent, even under adversity; recovers quickly from setbacks ",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Reduces project deliverables following funding cut ? Continues presentation to customer despite technical difficulties with audio-visual system,202 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 203 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 204 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Foundational for Leading Self,Resilience,Self Competencies,"Deals effectively with pressure; remains optimistic and persistent, even under adversity; recovers quickly from setbacks ",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Meets with employees resistant to organizational change to address concerns ? Maintains composure and direction in high-pressure situations ? Accepts negative feedback in a constructive manner and adjusts behavior accordingly,388 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 389 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 390 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Foundational for Leading Self,Resilience,Self Competencies,"Deals effectively with pressure; remains optimistic and persistent, even under adversity; recovers quickly from setbacks ",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Perseveres on project despite changing objectives, deliverables and deadlines ? Develops strategies using existing resources for achieving objectives following budget cuts",391 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 392 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 393 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Foundational for Leading Self,Resilience,Self Competencies,"Deals effectively with pressure; remains optimistic and persistent, even under adversity; recovers quickly from setbacks ",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Responds to setbacks by developing alternative approaches to determine the best course of action ? Maintains unit's effectiveness, quality and morale during organizational change ? Cultivates internal and external stakeholders to develop strategies for obtaining funding from alternate sources following budget cuts",550 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 551 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 552 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Foundational for Leading Self,Written Communications,Self Competencies,"Recognizes or uses correct English grammar, punctuation, and spelling; communicates information (for example, facts, ideas, or messages) in a succinct and organized manner; produces written information, which may include technical material, that is appropriate for the intended audience",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,"? Writes basic communications (e.g., an email requesting straightforward information, proofreading before sending to others ? Uses appropriate grammar, punctuation, and spelling ? With guidance, applies the Department’s style and format guidelines to written products",208 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 209 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 210 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Foundational for Leading Self,Written Communications,Self Competencies,"Recognizes or uses correct English grammar, punctuation, and spelling; communicates information (for example, facts, ideas, or messages) in a succinct and organized manner; produces written information, which may include technical material, that is appropriate for the intended audience",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,"? Drafts concise, straightforward summaries of information (e.g., portions of plans-reports ? Prepares routine written communications that are accurate, clear, concise and well-organized ? Answers routine or basic questions to internal and external customers appropriately (e.g., tone, detail and when responding in writing)",400 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 401 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 402 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Foundational for Leading Self,Written Communications,Self Competencies,"Recognizes or uses correct English grammar, punctuation, and spelling; communicates information (for example, facts, ideas, or messages) in a succinct and organized manner; produces written information, which may include technical material, that is appropriate for the intended audience",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Prepares reports, summaries, or makes recommendations independently ? Reviews and edits materials prepared by others for grammar, punctuation, spelling and conformance to style and format guidelines",403 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 404 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 405 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Foundational for Leading Self,Written Communications,Self Competencies,"Recognizes or uses correct English grammar, punctuation, and spelling; communicates information (for example, facts, ideas, or messages) in a succinct and organized manner; produces written information, which may include technical material, that is appropriate for the intended audience",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Writes complex documents, using clear terminology and a concise format as appropriate for decision makers ? Tailors written communications to address the most critical issues in a compelling and diplomatic manner ? Writes clear, concise issue papers or policy documents on complex topics, such as establishing Department-wide guidance or guidelines",559 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 560 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 561 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Foundational for Leading Self,Accountability,Self Competencies,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results; determines objectives, sets priorities, and delegates work; accepts responsibility for mistakes; complies with established control systems and rules",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Maintains confidentiality of sensitive information by establishing new policies and procedures for handling such information ? Delegates work to staff to ensure responsibilities are completed ? Meets weekly with team to monitor progress of work plans ? Outlines written policies and procedures to ensure consistent adherence by staff,562 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 563 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 564 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Foundational for Leading Self,Accountability,Self Competencies,"Holds self and others accountable for measurable high-quality, timely, and cost-effective results; determines objectives, sets priorities, and delegates work; accepts responsibility for mistakes; complies with established control systems and rules",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Investigates claims of employee violations and encourages staff to take responsibility for actions ? Outlines goals and assesses workgroup progress towards goal achievement ? Plans and researches safety issues and contacts agency to ensure safety standards are fully utilized ? Distributes workload among staff to ensure staff meet key deliverables,565 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 566 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 567 Third Course Name %%% Third Course Institution ||| www.cfo.gov
